text,intent
"Хочу заказать пиццу пепперони и колу","order"
"Отмените мой последний заказ пожалуйста","cancel"
"Как оплатить заказ картой онлайн?","payment"
"Курьер опоздал на 40 минут, требую компенсацию","complaint"
"Две пасты карбонара и салат цезарь на адрес Тверская 15","order"
"Не привезли соус как заказано, верните деньги","complaint"
"Где посмотреть историю заказов?","other"
"Можно ли изменить способ оплаты после оформления?","payment"
"Заказ #789: отмена из-за смены планов","cancel"
"Доставьте роллы Филадельфия и суп том-ям","order"
"Почему с меня списали сумму больше заявленной?","payment"
"В салате был посторонний предмет, фото прикрепляю","complaint"
"Хочу повторить вчерашний заказ","order"
"Отмените заказ #12345, я передумал","cancel"
"Как оформить предоплату через Apple Pay?","payment"
"Курьер был груб, пожалуйста примите меры","complaint"
"Можно заказать 3 пиццы Маргарита с доставкой к 19:00?","order"
"Ошиблась с адресом, отмените текущий заказ","cancel"
"Почему не проходит оплата с карты Сбербанка?","payment"
"Суши приехали теплые, качество упало","complaint"
"Закажите мне две шаурмы с курицей и фанту","order"
"Я уже уехал из офиса, отмените доставку","cancel"
"Как привязать новую карту к аккаунту?","payment"
"В чеке ошибка, сумма не совпадает с меню","complaint"
"Борщ, греческий салат и компот на обед","order"
"Отмена заказа #678 из-за долгой доставки","cancel"
"Автоплатеж не сработал, почему?","payment"
"Курьер съел половину моего бургера!","complaint"
"Закажите пиццу 4 сыра на завтра к 13:00","order"
"Отмените подписку на еженедельную доставку","cancel"
"Можно ли разделить оплату на две карты?","payment"
"В супе плавает волос, это отвратительно","complaint"
"Самса с говядиной 4 шт и лагман","order"
"Почему нельзя отменить заказ после подтверждения?","cancel"
"Оплатил через приложение, но статус 'ожидает оплаты'","payment"
"Весь заказ пролился в пакете, доставьте заново","complaint"
"Хочу заказать бизнес-ланс на 5 персон","order"
"Отмените заказ #999, курьер не берет трубку","cancel"
"Как получить электронный чек для оплаты?","payment"
"Мне прислали чужой заказ, где мой?","complaint"
"Роллы Калифорния на 8 персон к 18:30","order"
"Передумал насчет завтрака, отмена","cancel"
"Почему при оплате криптой нет скидки?","payment"
"В пицце недопекли тесто, верните деньги","complaint"
"Закажите сендвич с индейкой и капучино","order"
"Отмените подписку на кофе, больше не нужно","cancel"
"Как оплатить бонусными баллами?","payment"
"Курьер матерился при передаче заказа","complaint"
"Плов и чай каркаде с доставкой в парк Горького","order"
"Сколько у вас филиалов в Москве?","other"
"Есть веганское меню?","other"
"Как устроиться к вам курьером?","other"
"Можно заказать на новый год?","other"
"У вас есть программа лояльности?","other"
"Закажи пиццу с ананасами пж","order"
"Атмените заказ #123","cancel"
"Как заплотить?","payment"
"Курьер приехал пьяный!!!","complaint"
"Хачу шаверму сис бараниной","order"
"Отмеите закас #456","cancel"
"Оплата не проходыт","payment"
"Пица была халодная","complaint"
"Доставьте супч и салаат","order"
"Где моя еда? Жду уже час!","complaint"
"Можно скидку для студентов?","other"
"Какие у вас часы работы?","other"
"Есть ли доставка за город?","other"
"Как связаться с техподдержкой?","other"
"Можно приехать самовывозом?","other"
"Почему в приложении глючит меню?","other"
"Закажи 2 бургера чиз","order"
"Отьмени подписку","cancel"
"Не могу найти где оплатить","payment"
"Привезли не тот заказ опять","complaint"
"Хаюшки, пиццу на районо","order"
"Когдд будет доставка?","other"
"Скиньте менюшку","other"
"Платная ли доставка?","other"
"Можно без пластика упаковку?","other"
"Есть детское меню?","other"
"Почему курьер не звонит?","complaint"
"Закажи суши на дом","order"
"Отмени всё к чертям","cancel"
"Оплата глючит","payment"
"Еда холодная как лед","complaint"
"Дайте две пиццы срочно","order"
"Сколько стоит доставка?","other"
"Есть ли акции сегодня?","other"
"Как отменить подписку?","cancel"
"Можно оплатить наличкой?","payment"
"Волос в супе! Фу!","complaint"
"Бургер и кола","order"
"Где мой заказ? Уже 2 часа","complaint"
"Как применить промокод?","payment"
"Закажи роллы на работу","order"
"Отмена заказа #777","cancel"
"Почему не приходит смс с кодом?","payment"
"Курьер потерял мой заказ","complaint"
"Салат Цезарь и куриный суп","order"
"У вас есть wi-fi в зале?","other"
"Можно с собакой в кафе?","other"
"Где найти состав блюд?","other"
"Как восстановить пароль?","other"
"Почему нет русского меню?","other"
"Закажите пиццу вегетарианскую","order"
"Атменить заказ #888","cancel"
"Оплата не проходит чз прил","payment"
"Пицца недопеченая!","complaint"
"Срочно нужен кофе!","order"